year,round,Team,Driver,Compound
2018,11,Toro Rosso,GAS,"['SOFT', 'WET', 'ULTRASOFT']"
2018,11,Toro Rosso,HAR,"['SOFT', 'MEDIUM', 'ULTRASOFT']"
2018,11,Williams,SIR,"['SOFT', 'MEDIUM']"
2018,11,Williams,STR,"['SOFT', 'MEDIUM', 'INTERMEDIATE']"
2018,12,Ferrari,RAI,"['ULTRASOFT', 'SOFT', 'SOFT']"
2018,12,Ferrari,VET,"['SOFT', 'ULTRASOFT']"
2018,12,Force India,OCO,"['SOFT', 'ULTRASOFT']"
2018,12,Force India,PER,"['ULTRASOFT', 'SOFT']"
2018,12,Haas F1 Team,GRO,"['ULTRASOFT', 'SOFT']"
2018,12,Haas F1 Team,MAG,"['ULTRASOFT', 'SOFT']"
2018,12,McLaren,ALO,"['SOFT', 'MEDIUM']"
2018,12,McLaren,VAN,"['SOFT', 'MEDIUM']"
2018,12,Mercedes,BOT,"['ULTRASOFT', 'SOFT']"
2018,12,Mercedes,HAM,"['ULTRASOFT', 'SOFT']"
2018,12,Red Bull Racing,RIC,"['SOFT', 'ULTRASOFT']"
2018,12,Red Bull Racing,VER,['ULTRASOFT']
2018,12,Renault,HUL,"['SOFT', 'MEDIUM', 'ULTRASOFT']"
2018,12,Renault,SAI,"['SOFT', 'MEDIUM']"
2018,12,Sauber,ERI,"['ULTRASOFT', 'MEDIUM']"
2018,12,Sauber,LEC,['SOFT']
2018,12,Toro Rosso,GAS,"['ULTRASOFT', 'SOFT']"
2018,12,Toro Rosso,HAR,"['ULTRASOFT', 'MEDIUM']"
2018,12,Williams,SIR,"['SOFT', 'MEDIUM']"
2018,12,Williams,STR,"['MEDIUM', 'ULTRASOFT']"
2018,13,Ferrari,RAI,"['MEDIUM', 'MEDIUM']"
2018,13,Ferrari,VET,"['SUPERSOFT', 'SOFT']"
2018,13,Haas F1 Team,GRO,"['SUPERSOFT', 'SOFT']"
2018,13,Haas F1 Team,MAG,"['SUPERSOFT', 'SOFT']"
2018,13,McLaren,ALO,['SOFT']
2018,13,McLaren,VAN,"['SOFT', 'MEDIUM', 'SUPERSOFT']"
2018,13,Mercedes,BOT,"['SOFT', 'SUPERSOFT', 'SOFT']"
2018,13,Mercedes,HAM,"['SUPERSOFT', 'SOFT']"
2018,13,Racing Point,OCO,"['SUPERSOFT', 'SOFT']"
2018,13,Racing Point,PER,"['SUPERSOFT', 'SOFT']"
2018,13,Red Bull Racing,RIC,['SOFT']
2018,13,Red Bull Racing,VER,"['SOFT', 'SUPERSOFT', 'SOFT']"
2018,13,Renault,HUL,['SOFT']
2018,13,Renault,SAI,"['MEDIUM', 'SUPERSOFT']"
2018,13,Sauber,ERI,"['SOFT', 'SUPERSOFT']"
2018,13,Sauber,LEC,['SOFT']
2018,13,Toro Rosso,GAS,"['SUPERSOFT', 'SOFT']"
2018,13,Toro Rosso,HAR,"['SOFT', 'SUPERSOFT']"
2018,13,Williams,SIR,"['SOFT', 'SUPERSOFT']"
2018,13,Williams,STR,"['SOFT', 'SUPERSOFT']"
2018,14,Ferrari,RAI,"['SUPERSOFT', 'SOFT']"
2018,14,Ferrari,VET,"['SOFT', 'SUPERSOFT']"
2018,14,Haas F1 Team,GRO,"['SUPERSOFT', 'SOFT']"
2018,14,Haas F1 Team,MAG,"['SOFT', 'MEDIUM']"
2018,14,McLaren,ALO,['SUPERSOFT']
2018,14,McLaren,VAN,"['SUPERSOFT', 'SOFT']"
2018,14,Mercedes,BOT,"['SUPERSOFT', 'SOFT']"
2018,14,Mercedes,HAM,"['SUPERSOFT', 'SOFT']"
